alpha-3,country-code,Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop,ene_tj_pc,ene_tj_voy_pc,ene_tj_stop_pc,co2e_t_pc,co2e_t_voy_pc,co2e_t_stop_pc
TGO,768,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
TGO,768,Int. Arr. Inventory,3088.0,1128.0,183208.8,263214.0,2004.6,2006.3,2009.4,2009.7,609.0,2208.3,2198.7,2305.2,79.5,247.2,407.5,424.2,40.0,87.0,107.9,120.9,24081.1,21131.1,2950.0,1858113.0,1632297.1,225815.9,1893788.8,1663637.2,230151.5,0.2561174958940912,0.2598744921965646,0.23208372636777955,0.2597202122219182,0.26381673685646634,0.23351028935153442
TGO,768,Int. Dep. Inventory,3093.0,1136.0,126329.3,184834.6,2004.6,2006.2,2008.5,2008.7,578.9,1752.9,1509.0,1610.5,76.0,269.0,469.0,511.0,46.0,100.2,76.0,81.0,18565.4,14409.8,4155.6,1430415.5,1112472.0,317943.5,1457879.5,1133831.5,324048.0,0.19745459128827839,0.17721460111655601,0.326931231625066,0.19993822602287223,0.17980105666973095,0.3287770978845935
TGO,768,Domestic Inventory,10.0,5.0,105.5,161.1,2004.1,2005.4,2006.7,2006.8,232.3,1118.9,609.4,640.7,68.0,180.3,408.2,410.6,65.5,207.8,744.0,749.2,42.4,19.2,23.2,3221.9,1460.4,1761.5,3283.7,1488.4,1795.3,0.0004509504061653939,0.00023612543834320224,0.0018252008310957579,0.00045033704966103546,0.00023602792191540595,0.0018215002833907653
TKM,795,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
TKM,795,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
TKM,795,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
TKM,795,Int. Arr. Inventory,1526.0,260.0,3505.5,3835.9,1998.0,1997.3,1998.9,2001.9,233.7,499.3,362.4,397.0,53.0,161.8,278.4,370.7,34.0,93.0,73.6,75.4,1884.0,1251.6,632.5,141866.7,94289.2,47577.4,144590.5,96099.6,48490.9,0.020037513330556655,0.015392427011997497,0.04976032438224426,0.019829600505227012,0.015239309919982359,0.049198567421530254
TKM,795,Int. Dep. Inventory,1529.0,262.0,3572.5,3886.8,1998.0,1997.1,1998.8,2001.9,261.8,729.5,368.5,402.4,40.0,204.7,193.5,181.2,29.0,121.5,240.7,311.9,1892.3,859.0,1033.3,142463.0,64780.5,77682.6,145198.3,66024.2,79174.1,0.020125788999688088,0.010564153725875559,0.0812922421884158,0.019912956128086585,0.010470004516344493,0.0803295524910649
TKM,795,Domestic Inventory,105.0,38.0,353.6,371.7,2005.5,2001.1,2003.8,2007.6,372.4,1156.6,901.2,750.7,233.0,569.4,1373.3,1335.7,62.0,164.4,295.1,304.5,401.5,284.3,117.3,30170.3,21363.9,8806.4,30749.5,21774.1,8975.5,0.004270202548948246,0.003496378235467313,0.009228278339979844,0.004217084115038527,0.003452899472304649,0.009106486823134748
